"env","cov","entry","estimate","stderr","df","lower.CL","upper.CL","var_lsmean"
"MilletVT_2025","sph","1",4895.9789196243,110.529294716572,7,4634.61866882604,5157.33917042255,12216.7249905428
"MilletVT_2025","sph","2",4498.6951712153,110.87480963055,7,4236.51790747217,4760.87243495843,12293.2234106107
"MilletVT_2025","sph","3",4897.04557979324,111.063832118762,7,4634.42134889038,5159.66981069609,12335.1748049045
"MilletVT_2025","sph","4",4890.00655280283,105.283105382551,7,4641.05156853226,5138.96153707341,11084.5322789933
"MilletVT_2025","sph","5",4640.99370419214,105.718104773311,7,4391.01010981275,4890.97729857154,11176.3176768607
"MilletVT_2025","sph","6",4461.42174686243,104.678194392963,7,4213.89714978789,4708.94634393698,10957.5243813709
"MilletVT_2025","sph","7",4621.01666866427,110.89932956716,7,4358.78142448438,4883.25191284415,12298.6612984455
"MilletVT_2025","sph","8",4352.69141708461,111.10366272977,7,4089.97300175301,4615.40983241621,12344.0238719706
"MilletVT_2025","sph","9",4099.15169357464,110.920044096679,7,3836.86746731589,4361.43591983339,12303.2561824093
"MilletVT_2025","sph","10",4945.43783146109,111.380460441031,7,4682.06489354866,5208.81076937353,12405.6069680561
"MilletVT_2025","sph","11",4315.16090683894,110.053477101569,7,4054.92578591246,4575.39602776542,12111.7678221456
"MilletVT_2025","sph","12",4161.88456483712,111.437580875745,7,3898.3765585595,4425.39257111474,12418.3344314383
"MilletVT_2025","sph","13",3888.91414277233,110.693879222789,7,3627.16471145924,4150.66357408542,12253.1348973895
"MilletVT_2025","sph","14",4030.69382715212,110.667778014463,7,3769.00611538923,4292.381538915,12247.3570906585
"MilletVT_2025","sph","15",4808.15865812463,110.981903219899,7,4545.72815828293,5070.58915796632,12316.9828423111
"MilletVT_2025","sph","16",4542.53290399966,110.873815440162,7,4280.35799114323,4804.70781685609,12293.0029502592
"MilletVT_2025","sph","17",4249.42077931518,111.071814582081,7,3986.77767288597,4512.06388574439,12336.9479945562
"MilletVT_2025","sph","18",5028.92256483454,111.539342287758,7,4765.1739310542,5292.67119861488,12441.0248779857
"MilletVT_2025","sph","19",4999.36685449372,110.592756409769,7,4737.85654063669,5260.87716835076,12230.7577703106
"MilletVT_2025","sph","20",4302.62570607677,105.312873454954,7,4053.60033150027,4551.65108065328,11090.8013153391
